lanskod;lan_namn;kommunkod;kommunnamn;tatortskod;tatort;area_ha;bef
21;Gävleborg;2132;Nordanstig;T7154;Jättendal;107;258
23;Jämtland;2361;Härjedalen;T7996;Ulvkälla;74;420
23;Jämtland;2361;Härjedalen;T7968;Sveg;296;2543
21;Gävleborg;2132;Nordanstig;T7068;Gnarp;294;1199
21;Gävleborg;2132;Nordanstig;T7172;Hassela;90;329
23;Jämtland;2361;Härjedalen;T8012;Ytterhogdal;198;534
22;Västernorrland;2281;Sundsvall;T7646;Vikarbodarna och Skatan;121;222
22;Västernorrland;2281;Sundsvall;T7714;Viforsen och Tunbyn;74;216
22;Västernorrland;2281;Sundsvall;T7560;Lucksta;159;637
22;Västernorrland;2281;Sundsvall;T7532;Kvissleby;1062;8785
22;Västernorrland;2281;Sundsvall;T7402;Klingsta och Allsta;172;547
22;Västernorrland;2281;Sundsvall;T7670;Stockvik;142;2532
22;Västernorrland;2281;Sundsvall;T7580;Matfors;465;3437
22;Västernorrland;2281;Sundsvall;T7726;Vattjom;134;563
22;Västernorrland;2281;Sundsvall;T7596;Nedansjö;96;310
22;Västernorrland;2281;Sundsvall;T7408;Ankarsvik;208;986
22;Västernorrland;2281;Sundsvall;T7462;Fanbyn;201;599
23;Jämtland;2361;Härjedalen;T7868;Hede;267;837
22;Västernorrland;2281;Sundsvall;T7486;Hartungviken och Spikarna;248;400
22;Västernorrland;2281;Sundsvall;T7642;Selånger;111;324
23;Jämtland;2361;Härjedalen;T7920;Norr-Hede;82;241
22;Västernorrland;2281;Sundsvall;T7676;Stöde;197;704
23;Jämtland;2361;Härjedalen;T8008;Vemdalen;356;549
22;Västernorrland;2262;Timrå;T7544;Laggarberg;54;209
23;Jämtland;2326;Berg;T7924;Rätan;83;213
22;Västernorrland;2281;Sundsvall;T7404;Vi;629;5841
22;Västernorrland;2281;Sundsvall;T7688;Sundsvall;4251;57606
22;Västernorrland;2281;Sundsvall;T7520;Kovland;58;485
22;Västernorrland;2260;Ånge;T7708;Torpshammar;214;477
22;Västernorrland;2281;Sundsvall;T7492;Hovid;53;216
22;Västernorrland;2260;Ånge;T7400;Alby;150;349
22;Västernorrland;2260;Ånge;T7472;Ljungaverk och Fränsta;609;2062
22;Västernorrland;2260;Ånge;T7736;Ånge;382;2889
22;Västernorrland;2262;Timrå;T7704;Timrå;987;10495
23;Jämtland;2326;Berg;T7886;Klövsjö;308;292
22;Västernorrland;2262;Timrå;T7700;Söråker;529;2374
22;Västernorrland;2262;Timrå;T7416;Bergeforsen;284;1787
23;Jämtland;2361;Härjedalen;T7828;Funäsdalen;257;956
22;Västernorrland;2262;Timrå;T7668;Stavreviken;21;222
22;Västernorrland;2281;Sundsvall;T7504;Indal;244;949
23;Jämtland;2326;Berg;T8032;Åsarna;61;280
22;Västernorrland;2280;Härnösand;T7500;Härnösand;1121;18426
22;Västernorrland;2281;Sundsvall;T7548;Liden;86;283
