OBJECTID;AR;LANSKOD;AREA_HA;BEF;KOMMUNKOD;KOMMUNNAMN;TATORTSKOD;TATORT;LAN_NAMN
9725;2015;12;947;18592;1285;Eslöv;T3396;Eslöv;Skåne
9726;2015;12;46;365;1285;Eslöv;T3540;Kungshult;Skåne
9727;2015;12;538;7459;1266;Hörby;T3500;Hörby;Skåne
9728;2015;12;209;3134;1282;Landskrona;T3476;Häljarp;Skåne
9729;2015;12;138;1604;1285;Eslöv;T3608;Marieholm;Skåne
9730;2015;12;124;1703;1214;Svalöv;T3744;Teckomatorp;Skåne
9731;2015;12;315;565;1290;Kristianstad;T3180;Yngsjö;Skåne
9732;2015;12;68;265;1290;Kristianstad;T3228;Östra Sönnarslöv;Skåne
9733;2015;12;139;1050;1214;Svalöv;T3340;Billeberga;Skåne
9734;2015;12;154;953;1290;Kristianstad;T2864;Everöd;Skåne
9735;2015;12;118;1563;1282;Landskrona;T3328;Asmundtorp;Skåne
9736;2015;12;99;1191;1285;Eslöv;T3700;Stehag;Skåne
9737;2015;12;1280;32229;1282;Landskrona;T3560;Landskrona;Skåne
9738;2015;12;159;349;1282;Landskrona;T3126;Tuna;Skåne
9739;2015;12;255;3852;1214;Svalöv;T3716;Svalöv;Skåne
9740;2015;12;108;468;1290;Kristianstad;T2988;Linderöd;Skåne
9741;2015;12;52;417;1214;Svalöv;T3760;Tågarp;Skåne
9742;2015;12;1122;9840;1290;Kristianstad;T3184;Åhus;Skåne
9743;2015;12;39;395;1282;Landskrona;T3484;Härslöv;Skåne
9744;2015;12;113;926;1290;Kristianstad;T2896;Gärds Köpinge;Skåne
9745;2015;12;446;3404;1290;Kristianstad;T3108;Tollarp;Skåne
9746;2015;12;44;293;1285;Eslöv;T3704;Stockamöllan;Skåne
9747;2015;12;1629;12152;1267;Höör;T3504;Höör;Skåne
9748;2015;12;130;2093;1282;Landskrona;T3428;Glumslöv;Skåne
9749;2015;12;146;234;1267;Höör;T3064;Jularp och Sjunnerup;Skåne
9750;2015;12;76;434;1285;Eslöv;T3348;Billinge;Skåne
9751;2015;12;127;800;1283;Helsingborg;T3772;Vallåkra;Skåne
9752;2015;12;309;5904;1283;Helsingborg;T3652;Rydebäck;Skåne
9753;2015;12;126;768;1290;Kristianstad;T3040;Rinkaby;Skåne
9754;2015;12;98;1322;1283;Helsingborg;T3412;Gantofta;Skåne
9755;2015;12;264;829;1267;Höör;T3748;Tjörnarp;Skåne
9756;2015;12;137;874;1214;Svalöv;T3660;Röstånga;Skåne
9757;2015;12;179;1516;1214;Svalöv;T3544;Kågeröd;Skåne
9758;2015;10;389;1545;1083;Sölvesborg;T2652;Hällevik;Blekinge
9759;2015;12;43;587;1290;Kristianstad;T2906;Hammarslund;Skåne
9760;2015;12;384;3292;1260;Bjuv;T3392;Ekeby;Skåne
9761;2015;12;138;2753;1283;Helsingborg;T3376;Bårslöv;Skåne
9762;2015;12;322;3311;1290;Kristianstad;T2904;Hammar;Skåne
9763;2015;12;47;210;1267;Höör;T3622;Norra Rörum;Skåne
9764;2015;12;144;274;1272;Bromölla;T3020;Nymölla;Skåne
9765;2015;12;186;1832;1290;Kristianstad;T2872;Fjälkinge;Skåne
9766;2015;12;42;304;1290;Kristianstad;T2844;Bäckaskog;Skåne
9767;2015;10;107;802;1083;Sölvesborg;T2656;Hörvik;Blekinge
9768;2015;12;85;516;1272;Bromölla;T2892;Gualöv;Skåne
9769;2015;12;206;1808;1293;Hässleholm;T3104;Sösdala;Skåne
9770;2015;12;234;2932;1283;Helsingborg;T3644;Påarp;Skåne
9771;2015;10;226;1319;1083;Sölvesborg;T2696;Mjällby;Blekinge
9772;2015;12;58;499;1290;Kristianstad;T3156;Vinnö;Skåne
9773;2015;12;2141;39762;1290;Kristianstad;T2980;Kristianstad;Skåne
9774;2015;10;780;8972;1083;Sölvesborg;T2752;Sölvesborg;Blekinge
9775;2015;12;165;1067;1272;Bromölla;T3136;Valje;Skåne
9776;2015;12;218;1392;1290;Kristianstad;T3200;Önnestad;Skåne
9777;2015;10;32;210;1083;Sölvesborg;T2610;Djupekås;Blekinge
9778;2015;10;88;264;1083;Sölvesborg;T2692;Lörby;Blekinge
9779;2015;12;127;1935;1283;Helsingborg;T3620;Mörarp;Skåne
9780;2015;12;56;455;1290;Kristianstad;T2808;Balsby;Skåne
9781;2015;12;132;1016;1290;Kristianstad;T2876;Färlöv;Skåne
9782;2015;10;56;214;1083;Sölvesborg;T2774;Ysane;Blekinge
9783;2015;12;629;7854;1272;Bromölla;T2832;Bromölla;Skåne
9784;2015;12;365;2127;1276;Klippan;T2992;Ljungbyhed;Skåne
9785;2015;12;68;460;1290;Kristianstad;T3216;Österslöv;Skåne
9786;2015;12;54;202;1276;Klippan;T3534;Krika;Skåne
